Percentage served,Time in ms
0,575.857
1,592.467
2,592.467
3,592.909
4,592.909
5,1149.086
6,1166.159
7,1166.159
8,1722.460
9,1722.460
10,1738.577
11,2295.959
12,2295.959
13,2311.724
14,2311.724
15,2869.323
16,3442.574
17,3442.574
18,4015.768
19,4015.768
20,4589.233
21,5162.967
22,5162.967
23,5736.247
24,5736.247
25,6309.602
26,6882.839
27,6882.839
28,7456.305
29,7456.305
30,8029.582
31,8603.080
32,8603.080
33,9176.325
34,9176.325
35,9749.621
36,10323.001
37,10323.001
38,10896.322
39,10896.322
40,11469.595
41,12042.943
42,12042.943
43,12616.234
44,12616.234
45,13189.498
46,13762.825
47,13762.825
48,14336.080
49,14336.080
50,14909.356
51,15482.654
52,15482.654
53,16055.930
54,16055.930
55,16629.240
56,17202.539
57,17202.539
58,17776.026
59,17776.026
60,18349.291
61,18922.573
62,18922.573
63,19495.861
64,19495.861
65,20069.059
66,20642.375
67,20642.375
68,21215.606
69,21215.606
70,21788.913
71,22362.150
72,22362.150
73,22935.576
74,22935.576
75,23508.827
76,24082.247
77,24082.247
78,24655.495
79,24655.495
80,25229.266
81,25802.564
82,25802.564
83,26375.912
84,26375.912
85,26949.297
86,27522.622
87,27522.622
88,28095.871
89,28095.871
90,28669.107
91,29242.341
92,29242.341
93,29815.615
94,29815.615
95,30388.985
96,30962.254
97,30962.254
98,31535.561
99,31535.561
100,31535.561
