Percentage served,Time in ms
0,574.684
1,574.684
2,574.684
3,592.040
4,592.040
5,592.040
6,592.040
7,592.040
8,1147.979
9,1147.979
10,1147.979
11,1147.979
12,1147.979
13,1721.192
14,1721.192
15,1721.192
16,1721.192
17,1721.192
18,2294.430
19,2294.430
20,2294.430
21,2294.430
22,2294.430
23,2867.759
24,2867.759
25,2867.759
26,2867.759
27,2867.759
28,3441.019
29,3441.019
30,3441.019
31,3441.019
32,3441.019
33,4014.486
34,4014.486
35,4014.486
36,4014.486
37,4014.486
38,4587.679
39,4587.679
40,4587.679
41,4587.679
42,4587.679
43,5161.039
44,5161.039
45,5161.039
46,5161.039
47,5161.039
48,5734.317
49,5734.317
50,5734.317
51,5734.317
52,5734.317
53,6307.543
54,6307.543
55,6307.543
56,6307.543
57,6307.543
58,6880.742
59,6880.742
60,6880.742
61,6880.742
62,6880.742
63,7454.108
64,7454.108
65,7454.108
66,7454.108
67,7454.108
68,8027.305
69,8027.305
70,8027.305
71,8027.305
72,8027.305
73,8600.719
74,8600.719
75,8600.719
76,8600.719
77,8600.719
78,9173.951
79,9173.951
80,9173.951
81,9173.951
82,9173.951
83,9747.269
84,9747.269
85,9747.269
86,9747.269
87,9747.269
88,10320.537
89,10320.537
90,10320.537
91,10320.537
92,10320.537
93,10893.771
94,10893.771
95,10893.771
96,10893.771
97,10893.771
98,3544139754885357.500
99,3544139754885357.500
100,10893.771
