Percentage served,Time in ms
0,583.947
1,593.665
2,595.332
3,1157.344
4,1166.924
5,1730.780
6,1730.780
7,1740.002
8,2304.119
9,2313.300
10,2877.943
11,2885.986
12,3451.319
13,3458.089
14,4024.592
15,4030.865
16,4030.865
17,4598.059
18,4603.815
19,5171.236
20,5744.451
21,6317.863
22,6891.313
23,7464.672
24,8037.998
25,8611.257
26,8611.257
27,9184.448
28,9757.726
29,10330.988
30,10904.237
31,11477.561
32,12050.828
33,12624.137
34,13197.459
35,13770.734
36,13770.734
37,14344.072
38,14917.348
39,15490.644
40,16064.110
41,16637.443
42,17210.747
43,17784.093
44,18357.454
45,18930.710
46,18930.710
47,19504.028
48,20077.223
49,20650.553
50,21223.761
51,21797.188
52,22370.630
53,22944.491
54,23517.818
55,24091.088
56,24091.088
57,24664.398
58,25237.679
59,25811.124
60,26384.578
61,26957.954
62,27531.315
63,28104.581
64,28677.995
65,29251.248
66,29251.248
67,29824.508
68,30397.829
69,30971.125
70,31544.478
71,32117.747
72,32691.100
73,33264.415
74,33837.858
75,34411.234
76,34411.234
77,34984.515
78,35557.830
79,36131.231
80,36704.588
81,37278.159
82,37851.465
83,38424.758
84,38998.046
85,39571.326
86,39571.326
87,40144.637
88,40717.892
89,41291.143
90,41864.437
91,42437.740
92,43011.542
93,43584.857
94,44158.096
95,44731.446
96,44731.446
97,45304.737
98,45878.032
99,46451.382
100,46451.382
