Percentage served,Time in ms
0,118.679
1,118.679
2,118.679
3,122.361
4,122.361
5,122.361
6,122.361
7,122.361
8,129.660
9,129.660
10,129.660
11,129.660
12,129.660
13,236.874
14,236.874
15,236.874
16,236.874
17,236.874
18,353.088
19,353.088
20,353.088
21,353.088
22,353.088
23,471.137
24,471.137
25,471.137
26,471.137
27,471.137
28,587.160
29,587.160
30,587.160
31,587.160
32,587.160
33,704.576
34,704.576
35,704.576
36,704.576
37,704.576
38,825.343
39,825.343
40,825.343
41,825.343
42,825.343
43,944.478
44,944.478
45,944.478
46,944.478
47,944.478
48,1062.917
49,1062.917
50,1062.917
51,1062.917
52,1062.917
53,1180.394
54,1180.394
55,1180.394
56,1180.394
57,1180.394
58,1298.510
59,1298.510
60,1298.510
61,1298.510
62,1298.510
63,1416.251
64,1416.251
65,1416.251
66,1416.251
67,1416.251
68,1532.950
69,1532.950
70,1532.950
71,1532.950
72,1532.950
73,1650.156
74,1650.156
75,1650.156
76,1650.156
77,1650.156
78,1767.255
79,1767.255
80,1767.255
81,1767.255
82,1767.255
83,1884.642
84,1884.642
85,1884.642
86,1884.642
87,1884.642
88,2005.266
89,2005.266
90,2005.266
91,2005.266
92,2005.266
93,2124.766
94,2124.766
95,2124.766
96,2124.766
97,2124.766
98,5788344089836676.000
99,5788344089836676.000
100,2124.766
