Percentage served,Time in ms
0,584.019
1,593.156
2,594.511
3,594.511
4,1157.471
5,1166.738
6,1730.843
7,1739.692
8,1739.692
9,2304.206
10,2313.281
11,2877.623
12,2886.452
13,2886.452
14,3450.923
15,3460.204
16,4024.362
17,4033.053
18,4033.053
19,4597.633
20,5170.971
21,5744.310
22,6317.583
23,6317.583
24,6890.927
25,7464.219
26,8037.535
27,8610.834
28,8610.834
29,9184.174
30,9757.395
31,10330.869
32,10904.161
33,10904.161
34,11477.438
35,12050.753
36,12624.209
37,13197.660
38,13197.660
39,13771.046
40,14344.613
41,14918.031
42,15492.087
43,15492.087
44,16065.516
45,16639.195
46,17212.636
47,17785.989
48,17785.989
49,18359.574
50,18933.015
51,19507.160
52,20080.638
53,20080.638
54,20654.333
55,21227.738
56,21801.077
57,22374.375
58,22374.375
59,22947.715
60,23521.196
61,24094.734
62,24668.317
63,24668.317
64,25241.579
65,25814.886
66,26388.117
67,26961.384
68,26961.384
69,27534.691
70,28107.913
71,28681.795
72,29255.159
73,29255.159
74,29828.450
75,30401.820
76,30975.086
77,31548.431
78,31548.431
79,32121.743
80,32695.024
81,33268.282
82,33841.541
83,33841.541
84,34414.799
85,34988.084
86,35561.974
87,36135.272
88,36135.272
89,36708.608
90,37281.893
91,37855.221
92,38428.475
93,38428.475
94,39001.845
95,39575.118
96,40148.560
97,40721.893
98,40721.893
99,41311.094
100,41311.094
