Percentage served,Time in ms
0,577.427
1,592.295
2,594.324
3,1150.737
4,1183.519
5,1724.135
6,1756.771
7,2297.348
8,2330.189
9,2870.543
10,2903.478
11,3443.718
12,3477.156
13,4017.086
14,4050.434
15,4590.387
16,4624.110
17,5163.729
18,5197.742
19,5737.072
20,5771.384
21,6310.390
22,6343.167
23,6883.685
24,6916.480
25,7457.121
26,7490.398
27,8030.417
28,8063.576
29,8603.733
30,8637.255
31,9177.019
32,9210.464
33,9750.287
34,9783.742
35,10323.585
36,10357.453
37,10896.922
38,10930.707
39,11470.215
40,11504.030
41,12043.504
42,12077.305
43,12616.835
44,12651.044
45,13190.098
46,13224.229
47,13763.379
48,13797.496
49,14336.627
50,14370.833
51,14909.959
52,14944.079
53,15483.363
54,15517.957
55,16056.660
56,16091.188
57,16629.956
58,16664.472
59,17203.384
60,17237.904
61,17776.714
62,17811.251
63,18349.987
64,18384.626
65,18923.272
66,18958.360
67,19496.689
68,20069.952
69,20643.265
70,21216.592
71,21789.879
72,22363.191
73,22936.545
74,23509.832
75,24083.157
76,24656.884
77,25230.271
78,25803.641
79,26376.994
80,26950.288
81,27523.565
82,28096.860
83,28670.162
84,29243.419
85,29816.739
86,30390.008
87,30963.313
88,31536.591
89,32109.973
90,32683.136
91,33255.994
92,33828.838
93,34402.080
94,34975.315
95,35548.661
96,36121.947
97,36695.322
98,37268.765
99,37842.182
100,37842.182
