Percentage served,Time in ms
0,587.946
1,591.259
2,591.259
3,591.362
4,591.362
5,591.451
6,591.451
7,591.678
8,591.678
9,591.757
10,591.757
11,591.876
12,591.876
13,592.037
14,592.037
15,592.053
16,592.053
17,592.965
18,592.965
19,593.010
20,593.010
21,593.188
22,593.188
23,593.656
24,593.656
25,593.658
26,593.658
27,593.744
28,593.744
29,593.998
30,593.998
31,807.649
32,807.649
33,811.085
34,811.085
35,817.268
36,817.268
37,818.132
38,818.132
39,818.258
40,818.258
41,818.372
42,818.372
43,820.450
44,820.450
45,821.720
46,821.720
47,824.419
48,824.419
49,829.909
50,829.909
51,832.213
52,832.213
53,832.755
54,832.755
55,834.487
56,834.487
57,835.321
58,835.321
59,835.449
60,835.449
61,837.746
62,837.746
63,839.465
64,839.465
65,840.104
66,840.104
67,841.159
68,841.159
69,846.998
70,846.998
71,850.681
72,850.681
73,857.190
74,857.190
75,863.343
76,863.343
77,875.979
78,875.979
79,877.284
80,877.284
81,877.377
82,877.377
83,877.509
84,877.509
85,877.600
86,877.600
87,877.672
88,877.672
89,877.932
90,877.932
91,878.213
92,878.213
93,878.548
94,878.548
95,879.674
96,879.674
97,882.062
98,882.062
99,3544139754885357.500
100,882.062
