Percentage served,Time in ms
0,130.645
1,130.645
2,130.886
3,130.886
4,130.886
5,131.063
6,131.063
7,131.063
8,131.063
9,135.357
10,135.357
11,135.357
12,171.286
13,171.286
14,171.286
15,171.547
16,171.547
17,171.547
18,171.547
19,171.667
20,171.667
21,171.667
22,171.720
23,171.720
24,171.720
25,171.761
26,171.761
27,171.761
28,171.761
29,171.788
30,171.788
31,171.788
32,171.850
33,171.850
34,171.850
35,171.927
36,171.927
37,171.927
38,171.927
39,171.935
40,171.935
41,171.935
42,171.962
43,171.962
44,171.962
45,171.988
46,171.988
47,171.988
48,171.988
49,172.033
50,172.033
51,172.033
52,172.038
53,172.038
54,172.038
55,172.077
56,172.077
57,172.077
58,172.077
59,172.096
60,172.096
61,172.096
62,172.101
63,172.101
64,172.101
65,172.209
66,172.209
67,172.209
68,172.209
69,172.355
70,172.355
71,172.355
72,172.362
73,172.362
74,172.362
75,172.446
76,172.446
77,172.446
78,172.446
79,172.453
80,172.453
81,172.453
82,172.459
83,172.459
84,172.459
85,172.551
86,172.551
87,172.551
88,172.551
89,172.768
90,172.768
91,172.768
92,226.445
93,226.445
94,226.445
95,231.099
96,231.099
97,231.099
98,231.099
99,5788344089836676.000
100,231.099
