Percentage served,Time in ms
0,129.434
1,129.434
2,131.124
3,131.124
4,131.163
5,131.163
6,131.163
7,131.384
8,131.384
9,131.424
10,131.424
11,131.424
12,131.437
13,131.437
14,131.448
15,131.448
16,131.448
17,131.449
18,131.449
19,131.488
20,131.488
21,131.488
22,131.582
23,131.582
24,131.646
25,131.646
26,131.646
27,131.690
28,131.690
29,131.775
30,131.775
31,131.775
32,131.931
33,131.931
34,131.938
35,131.938
36,131.938
37,131.964
38,131.964
39,132.019
40,132.019
41,132.019
42,132.088
43,132.088
44,132.112
45,132.112
46,132.112
47,132.177
48,132.177
49,132.230
50,132.230
51,132.230
52,132.540
53,132.540
54,132.555
55,132.555
56,132.555
57,132.564
58,132.564
59,201.482
60,201.482
61,201.482
62,202.784
63,202.784
64,210.609
65,210.609
66,210.609
67,211.176
68,211.176
69,217.029
70,217.029
71,217.029
72,217.093
73,217.093
74,217.212
75,217.212
76,217.212
77,217.321
78,217.321
79,218.004
80,218.004
81,218.004
82,218.249
83,218.249
84,218.298
85,218.298
86,218.298
87,218.412
88,218.412
89,240.793
90,240.793
91,240.793
92,240.813
93,240.813
94,241.548
95,241.548
96,241.548
97,241.669
98,241.669
99,5788344089836676.000
100,241.669
