Percentage served,Time in ms
0,588.074
1,588.074
2,588.762
3,588.762
4,588.762
5,588.762
6,588.762
7,588.762
8,588.762
9,588.780
10,588.780
11,588.780
12,589.294
13,589.294
14,589.294
15,589.636
16,589.636
17,589.636
18,589.636
19,589.829
20,589.829
21,589.829
22,590.049
23,590.049
24,590.049
25,590.163
26,590.163
27,590.163
28,590.163
29,590.247
30,590.247
31,590.247
32,590.292
33,590.292
34,590.292
35,590.346
36,590.346
37,590.346
38,590.346
39,590.517
40,590.517
41,590.517
42,591.011
43,591.011
44,591.011
45,591.119
46,591.119
47,591.119
48,591.119
49,591.162
50,591.162
51,591.162
52,591.164
53,591.164
54,591.164
55,591.211
56,591.211
57,591.211
58,591.211
59,591.228
60,591.228
61,591.228
62,591.334
63,591.334
64,591.334
65,591.444
66,591.444
67,591.444
68,591.444
69,591.449
70,591.449
71,591.449
72,591.475
73,591.475
74,591.475
75,591.596
76,591.596
77,591.596
78,591.596
79,591.633
80,591.633
81,591.633
82,591.806
83,591.806
84,591.806
85,591.917
86,591.917
87,591.917
88,591.917
89,592.191
90,592.191
91,592.191
92,592.210
93,592.210
94,592.210
95,592.811
96,592.811
97,592.811
98,592.811
99,3544139754885357.500
100,592.811
